country,year,iso_code,population,gdp,primary_energy_consumption,fossil_fuel_consumption,coal_consumption,oil_consumption,gas_consumption,low_carbon_consumption,nuclear_consumption,renewables_consumption,hydro_consumption,solar_consumption,wind_consumption,biofuel_consumption,other_renewable_consumption,calc_fossil_share_energy,calc_coal_share_energy,calc_oil_share_energy,calc_gas_share_energy,calc_low_carbon_share_energy,calc_nuclear_share_energy,calc_renewables_share_energy,calc_hydro_share_energy,calc_solar_share_energy,calc_wind_share_energy,calc_biofuel_share_energy,calc_other_renewable_share_energy
Austria,2019,AUT,8879939,388344676352,427.96,276.15,33.945,153.201,89.004,151.81,0,151.81,107.616,4.487,19.638,5.167,14.902,64.52705860360781,7.931816057575475,35.797971773062905,20.79727077296944,35.47294139639219,0,35.47294139639219,25.146275352836717,1.0484624731283299,4.588746611832882,1.2073558276474436,3.482101130946817
Austria,2020,AUT,8907780,363281088512,400.144,247.334,29.032,133.029,85.272,152.81,0,152.81,110.299,5.365,17.837,4.622,14.688,61.81124795073774,7.2553880602982925,33.24528169858851,21.310328281818546,38.18875204926226,0,38.18875204926226,27.564826662401536,1.3407673237634452,4.457645247710824,1.1550841696989083,3.670678555719941
Austria,2021,AUT,8922086,379835219968,406.033,260.531,30.162,140.215,90.154,145.502,0,145.502,101.4,7.281,17.637,4.847,14.338,64.16498166405194,7.42846024830494,34.53290742378082,22.20361399196617,35.835018335948064,0,35.835018335948064,24.97333960540153,1.7932040006600445,4.343735607696911,1.193745335970229,3.531240071619794
Austria,2022,AUT,8939617,398815395840,379.769,242.799,28.638,135.033,79.128,136.97,0,136.97,88.585,9.885,18.889,4.605,15.005,63.933338424147315,7.540899862811341,35.55661467892324,20.83582388241273,36.066661575852685,0,36.066661575852685,23.326021871190118,2.602898077515542,4.97381302844624,1.2125792257925214,3.951086054943927
Azerbaijan,2015,AZE,9863485,164036902912,171.826,167.101,0.035,55.601,111.466,4.725,0,4.725,4.41,0.012,0.012,NA,0.29,97.25012512658154,0.020369443506803395,32.358897954907874,64.87143971226706,2.749874873418458,0,2.749874873418458,2.566549881857228,0.006983809202332592,0.006983809202332592,NA,0.16877538905637096
Azerbaijan,2016,AZE,9976254,159010799616,170.192,164.513,0.014,55.193,109.306,5.679,0,5.679,5.245,0.094,0.061,NA,0.279,96.66318040800978,0.008226003572435837,32.429843940960794,64.22511046347654,3.336819591990223,0,3.336819591990223,3.0818134812447116,0.05523173827206919,0.03584187270847043,NA,0.16393249976497135
Azerbaijan,2017,AZE,10071569,159255674880,166.954,161.877,0.012,55.699,106.166,5.077,0,5.077,4.648,0.099,0.059,NA,0.272,96.95904261053944,0.007187608562837668,33.36188411179127,63.58997089018532,3.0409573894605697,0,3.0409573894605697,2.784000383339123,0.059297770643410755,0.03533907543395186,NA,0.1629191274243205
Azerbaijan,2018,AZE,10152524,161644511232,176.167,170.907,0.008,62.741,108.158,5.259,0,5.259,4.678,0.104,0.219,NA,0.259,97.01419675648675,0.004541145617510658,35.61450214852952,61.395153462339714,2.9852356003110687,0,2.9852356003110687,2.655434899839357,0.05903489302763854,0.12431386127935425,NA,0.14701958936690754
Azerbaijan,2019,AZE,10232761,165653299200,185.891,181.059,0.008,63.159,117.892,4.832,0,4.832,4.125,0.117,0.278,NA,0.313,97.40062724930202,0.004303597269367533,33.976362491998,63.419961160034646,2.59937275069799,0,2.59937275069799,2.219042342017634,0.06294011006450016,0.14955000511052177,NA,0.16837824316400474
Azerbaijan,2020,AZE,10284952,158697521152,184.929,181.424,0.005,57.751,123.668,3.505,0,3.505,2.809,0.123,0.252,NA,0.32,98.10467801156119,0.0027037403544062856,31.22874184146348,66.87323242974331,1.8953219884388064,0,1.8953219884388064,1.5189613311054513,0.06651201271839463,0.1362685138620768,NA,0.17303938268200228
Azerbaijan,2021,AZE,10312992,167584579584,197.549,193.515,0.002,65.339,128.174,4.034,0,4.034,3.342,0.144,0.239,NA,0.308,97.95797498342182,0.0010124070483778708,33.074832066980846,64.88213050939261,2.0420250165781653,0,2.0420250165781653,1.6917321778394219,0.07289330748320669,0.12098264228115554,NA,0.1559106854501921
Azerbaijan,2022,AZE,10358078,175370551296,210.286,205.422,0.001,69.259,136.162,4.864,0,4.864,4.16,0.159,0.217,NA,0.328,97.68695966445698,4.7554283214289113e-4,32.9356210113845,64.75086311024035,2.3130403355430222,0,2.3130403355430222,1.978258181714427,0.07561131031071969,0.10319279457500737,NA,0.1559780489428683
Bahamas,2015,BHS,392707,NA,11.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2016,BHS,395986,NA,12.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2017,BHS,399027,NA,14.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2018,BHS,401911,NA,16.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2019,BHS,404563,NA,16.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2020,BHS,406478,NA,13.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2021,BHS,407920,NA,14.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2022,BHS,409989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,2015,BHR,1362157,51134095360,203.605,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Bahrain,2016,BHR,1409668,52953448448,203.153,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Bahrain,2017,BHR,1456844,55226208256,209.008,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Bahrain,2018,BHR,1487346,56391483392,211.637,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Bahrain,2019,BHR,1494195,57613484032,232.196,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
